Station;Latitude;Longitude;depth;si;no3;po4;T;so;O2;aou;o2s
27_SUR;33.9262;32.8958;5;1.699661016;0.174666181;0.163139686;20.18350983;39.23756001;5.052395821;-0.13703005;102.6726303
27_DCM;33.9262;32.8958;100;1.780075788;0.258849978;0.233659133;17.2238903;;5.218286037;0.144527823;97.40350342
28_SUR;34.2641;32.9707;5;0.958930135;0.125983566;0.158922091;19.86268997;39.23756001;5.089766026;-0.127675816;102.4952316
28_DCM;34.2641;32.9707;120;3.629853964;0.019754931;0.097132176;16.64250946;;5.040679455;0.363049209;93.41655731
30_SUR;33.9178;32.8872;5;1.699661016;0.174666181;0.163139686;20.18350983;39.23756001;5.052395821;-0.13703005;102.6726303
30_DCM;33.9178;32.8872;70;1.829621553;0.243846878;0.104976535;18.76918983;;5.248710155;-0.094962135;101.8609772
31_SUR;27.145;34.8067;5;1.015435661;0.205828242;0.054519279;23.94751183;39.81760343;4.825013942;-0.181109335;103.9066639
31_DCM;27.145;34.8067;80;1.783690806;1.045747086;0.126245082;23.31132211;;4.546015801;0.184060241;96.20720616
32_SUR;23.36;37.2183;5;1.055179119;0.193406865;0.018386966;24.80480957;39.226808;4.760172367;-0.163369015;103.5883179
32_DCM;23.36;37.2183;80;3.001905441;1.461885095;0.153749019;24.22620964;;4.410988331;0.378391057;92.02991486
33_SUR;22.025;38.2333;5;1.087360501;0.204646721;0.098288827;25.95149994;39.10274386;4.735486031;0.067362525;98.31473541
33_DCM;22.025;38.2333;40;1.808792114;0.290975571;0.082364686;25.55850029;;4.557100773;0.200991198;95.45681763
34_SUR;18.3967;39.875;5;2.472040653;0.103353538;0.13446112;26.41419983;38.20756872;4.639779568;0.173760965;96.07491302
34_DCM;18.3967;39.875;60;2.935868263;2.527164459;0.427256823;26.65579987;;2.985280037;1.095926642;75.99237061
36_SUR;20.8222;63.5133;5;1.882811189;1.428789735;0.392678976;25.88459015;36.42128534;4.898910046;-0.20395793;104.3888397
36_DCM;20.8222;63.5133;20;1.874127984;1.480961204;0.399761796;25.45659065;36.42128534;4.893213272;-0.192929164;104.1282654
38_SUR;19.0351;64.5638;5;1.967774868;0.937685251;0.353861302;26.15309906;36.38631821;4.855811596;-0.169597775;103.6564789
38_DCM;19.0351;64.5638;25;1.916131973;1.080006599;0.364547104;25.59770012;;4.889509678;-0.216612712;104.6241608
39_SUR;18.5839;66.4727;5;2.509373188;0.388178676;0.296142757;26.52589035;36.26764591;4.751549244;-0.115176819;102.4941177
39_DCM;18.5839;66.4727;25;2.319657803;0.687627912;0.314644784;26.13239098;;4.783133507;-0.154980063;103.323967
40_SUR;17.5294;67.9576;5;2.844596386;0.184954211;0.269617915;26.9659996;36.14163247;4.668911934;-0.091999657;102.0085602
40_DCM;17.5294;67.9576;30;2.6068964;0.403406948;0.304554135;26.50880051;;4.689552307;-0.101638556;102.2122421
41_SUR;14.6059;69.9776;5;2.687141418;0.130560189;0.216682822;28.10489082;35.58558591;4.616025925;-0.1164461;102.5984344
41_DCM;14.6059;69.9776;70;2.740885735;2.911904812;0.459375322;26.67918968;;3.892978191;0.662863195;86.01850128
42_SUR;6.0001;73.8955;5;1.943358898;0.159651786;0.165170491;29.99079132;34.51225758;4.433951378;-0.046609633;101.0596313
42_DCM;6.0001;73.8955;80;6.293056011;18.10989952;0.631776273;26.12769127;;3.067234278;1.971824884;58.75630951
43_SUR;4.6599;73.4856;5;2.525277853;0.249967903;0.163909882;29.93520927;34.57159457;4.438071728;-0.061775483;101.4011459
44_SUR;2.815;71.534;5;3.694413185;0.215412557;0.209352523;29.94639015;34.78255434;4.468230724;-0.098227322;102.2345352
44_DCM;2.815;71.534;65;2.761639833;3.444003582;0.430787265;26.7129097;;3.945456505;0.646142066;86.62981415
45_SUR;0.0033;71.6428;5;5.182582378;0.201755166;0.24202314;29.92989922;34.8588181;4.483550072;-0.102684624;102.3341064
46_SUR;-0.6625;73.161;5;4.083867073;0.313943267;0.246241763;29.80240059;34.79167571;4.516420841;-0.134418651;103.0490646
